s990-112,Barrasso (R-WY),Cornyn (R-TX),Alexander (R-TN),Ayotte (R-NH),Brown (R-MA),Crapo (R-ID),McCaskill (D-MO),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Kerry (D-MA),Gillibrand (D-NY),Inhofe (R-OK),Reid (D-NV),Vitter (R-LA),Webb (D-VA),Nelson (D-NE),Risch (R-ID),Kohl (D-WI),Wicker (R-MS),Coburn (R-OK),Toomey (R-PA),Conrad (D-ND),Rockefeller (D-WV),Pryor (D-AR),Stabenow (D-MI),McConnell (R-KY),Hutchison (R-TX),Boxer (D-CA),Moran (R-KS),Lieberman (ID-CT),Nelson (D-FL),Coats (R-IN),DeMint (R-SC),Johnson (D-SD),Thune (R-SD),Cochran (R-MS),Sessions (R-AL),Warner (D-VA),Hatch (R-UT),Corker (R-TN),Casey (D-PA),Blunt (R-MO),Enzi (R-WY),Landrieu (D-LA),Inouye (D-HI),McCain (R-AZ),Feinstein (D-CA),Isakson (R-GA),Snowe (R-ME),Hagan (D-NC),Kyl (R-AZ),Mikulski (D-MD),Levin (D-MI),Whitehouse (D-RI),Burr (R-NC),Bennet (D-CO),Boozman (R-AR),Hoeven (R-ND),Johnson (R-WI),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Reed (D-RI),Manchin (D-WV),Collins (R-ME),Grassley (R-IA),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),Cardin (D-MD),Shaheen (D-NH),,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt1064-112,McCaskill (D-MO),Klobuchar (D-MN),Gillibrand (D-NY),Murray (D-WA),Tester (D-MT),Sanders (I-VT),Nelson (D-NE),Leahy (D-VT),Durbin (D-IL),Harkin (D-IA),Baucus (D-MT),Menendez (D-NJ),Boxer (D-CA),DeMint (R-SC),Paul (R-KY),Cantwell (D-WA),Heller (R-NV),Bingaman (D-NM),Brown (D-OH),Lautenberg (D-NJ),Franken (D-MN),Feinstein (D-CA),Merkley (D-OR),Udall (D-CO),Rockefeller (D-WV),Wyden (D-OR),Udall (D-NM),Manchin (D-WV),Snowe (R-ME),Cardin (D-MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sres21-112,Schumer (D-NY),Nelson (D-FL),McCaskill (D-MO),Klobuchar (D-MN),Blumenthal (D-CT),Mikulski (D-MD),Gillibrand (D-NY),Murray (D-WA),Webb (D-VA),Sanders (I-VT),Nelson (D-NE),Whitehouse (D-RI),Leahy (D-VT),Durbin (D-IL),Coons (D-DE),Harkin (D-IA),Menendez (D-NJ),Boxer (D-CA),Lieberman (ID-CT),Lautenberg (D-NJ),Kohl (D-WI),Tester (D-MT),Bingaman (D-NM),Warner (D-VA),Cantwell (D-WA),Casey (D-PA),Landrieu (D-LA),Conrad (D-ND),Franken (D-MN),Manchin (D-WV),Merkley (D-OR),Hagan (D-NC),Udall (D-CO),Rockefeller (D-WV),Akaka (D-HI),Wyden (D-OR),Begich (D-AK),Stabenow (D-MI),Bennet (D-CO),Udall (D-NM),Carper (D-DE),Reed (D-RI),Brown (D-OH),Johnson (D-SD),Cardin (D-MD),Shaheen (D-NH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt800-112,Coburn (R-OK),Corker (R-TN),Cornyn (R-TX),Hutchison (R-TX),Graham (R-SC),Johnson (R-WI),Toomey (R-PA),DeMint (R-SC),Paul (R-KY),Kyl (R-AZ),Inhofe (R-OK),Lee (R-UT),Hatch (R-UT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjres24-112,Wyden (D-OR),Begich (D-AK),Casey (D-PA),Hagan (D-NC),Stabenow (D-MI),Baucus (D-MT),Nelson (D-FL),Bennet (D-CO),McCaskill (D-MO),Klobuchar (D-MN),Blumenthal (D-CT),Carper (D-DE),Gillibrand (D-NY),Kohl (D-WI),Udall (D-CO),Brown (D-OH),Feinstein (D-CA),Tester (D-MT),Heller (R-NV),Nelson (D-NE),Manchin (D-WV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt634-112,Cornyn (R-TX),Menendez (D-NJ),Alexander (R-TN),Ayotte (R-NH),Brown (R-MA),Crapo (R-ID),Roberts (R-KS),Graham (R-SC),Blumenthal (D-CT),McCain (R-AZ),Inhofe (R-OK),Vitter (R-LA),Sessions (R-AL),Risch (R-ID),Coburn (R-OK),Murkowski (R-AK),McConnell (R-KY),Toomey (R-PA),Hutchison (R-TX),Moran (R-KS),Lieberman (ID-CT),Nelson (D-FL),Coats (R-IN),DeMint (R-SC),Cochran (R-MS),Heller (R-NV),Lee (R-UT),Hatch (R-UT),Hoeven (R-ND),Blunt (R-MO),Wicker (R-MS),Thune (R-SD),Rubio (R-FL),Isakson (R-GA),Snowe (R-ME),Kyl (R-AZ),Burr (R-NC),Grassley (R-IA),Boozman (R-AR),Johnson (R-WI),Portman (R-OH),Shelby (R-AL),Manchin (D-WV),Collins (R-ME),Lugar (R-IN),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt860-112,Barrasso (R-WY),Cornyn (R-TX),Alexander (R-TN),Ayotte (R-NH),Crapo (R-ID),Roberts (R-KS),Graham (R-SC),Lugar (R-IN),McCain (R-AZ),Inhofe (R-OK),Vitter (R-LA),Sessions (R-AL),Risch (R-ID),Coburn (R-OK),Toomey (R-PA),McConnell (R-KY),Hutchison (R-TX),Moran (R-KS),Coats (R-IN),DeMint (R-SC),Paul (R-KY),Cochran (R-MS),Heller (R-NV),Lee (R-UT),Hatch (R-UT),Corker (R-TN),Hoeven (R-ND),Blunt (R-MO),Enzi (R-WY),Wicker (R-MS),Thune (R-SD),Isakson (R-GA),Snowe (R-ME),Kyl (R-AZ),Burr (R-NC),Grassley (R-IA),Boozman (R-AR),Johnson (R-WI),Portman (R-OH),Shelby (R-AL),Manchin (D-WV),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),Kirk (R-IL),Johanns (R-NE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt501-112,Barrasso (R-WY),Cornyn (R-TX),Alexander (R-TN),Ayotte (R-NH),Crapo (R-ID),Roberts (R-KS),Graham (R-SC),McCain (R-AZ),Inhofe (R-OK),Tester (D-MT),Sessions (R-AL),Risch (R-ID),Coburn (R-OK),Toomey (R-PA),Vitter (R-LA),Hutchison (R-TX),Moran (R-KS),Murkowski (R-AK),Coats (R-IN),DeMint (R-SC),Paul (R-KY),Heller (R-NV),Lee (R-UT),Hatch (R-UT),Corker (R-TN),Hoeven (R-ND),Blunt (R-MO),Enzi (R-WY),Wicker (R-MS),Thune (R-SD),Isakson (R-GA),Snowe (R-ME),McConnell (R-KY),Burr (R-NC),Grassley (R-IA),Boozman (R-AR),Johnson (R-WI),Portman (R-OH),Shelby (R-AL),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),Kyl (R-AZ),Johanns (R-NE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samdt182-112,Hutchison (R-TX),Alexander (R-TN),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Reid (D-NV),Leahy (D-VT),Conrad (D-ND),Coons (D-DE),Harkin (D-IA),Boxer (D-CA),Moran (R-KS),Murkowski (R-AK),Coats (R-IN),Paul (R-KY),Bingaman (D-NM),Lee (R-UT),Cantwell (D-WA),Corker (R-TN),Casey (D-PA),Enzi (R-WY),Feinstein (D-CA),Bennet (D-CO),McCain (R-AZ),Reed (D-RI),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),McConnell (R-KY),Barrasso (R-WY),Vitter (R-LA),Crapo (R-ID),Roberts (R-KS),McCaskill (D-MO),Kerry (D-MA),Gillibrand (D-NY),Murray (D-WA),Inhofe (R-OK),Coburn (R-OK),Baucus (D-MT),Wicker (R-MS),Franken (D-MN),Kirk (R-IL),Burr (R-NC),Boozman (R-AR),Johnson (R-WI),Manchin (D-WV),Levin (D-MI),Merkley (D-OR),Schumer (D-NY),Ayotte (R-NH),Brown (R-MA),Blumenthal (D-CT),Mikulski (D-MD),Risch (R-ID),Whitehouse (D-RI),Lieberman (ID-CT),Pryor (D-AR),Stabenow (D-MI),Hoeven (R-ND),Blunt (R-MO),Landrieu (D-LA),Inouye (D-HI),Isakson (R-GA),Akaka (D-HI),Grassley (R-IA),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Brown (D-OH),Johanns (R-NE),Shaheen (D-NH),Cornyn (R-TX),Udall (D-NM),Nelson (D-FL),Webb (D-VA),Ensign (R-NV),Sanders (I-VT),Nelson (D-NE),Durbin (D-IL),Menendez (D-NJ),Kohl (D-WI),DeMint (R-SC),Tester (D-MT),Cochran (R-MS),Warner (D-VA),Hatch (R-UT),Lautenberg (D-NJ),Thune (R-SD),Snowe (R-ME),Hagan (D-NC),Toomey (R-PA),Udall (D-CO),Wyden (D-OR),Begich (D-AK),Johnson (D-SD),Kyl (R-AZ),Cardin (D-MD),,
hjres44-112,Hutchison (R-TX),Alexander (R-TN),Klobuchar (D-MN),Graham (R-SC),Lugar (R-IN),Reid (D-NV),Leahy (D-VT),Conrad (D-ND),Coons (D-DE),Boxer (D-CA),Moran (R-KS),Lieberman (ID-CT),Coats (R-IN),Bingaman (D-NM),Cantwell (D-WA),Corker (R-TN),Casey (D-PA),Enzi (R-WY),Feinstein (D-CA),Bennet (D-CO),McCain (R-AZ),Reed (D-RI),Collins (R-ME),Rubio (R-FL),Chambliss (R-GA),McConnell (R-KY),Barrasso (R-WY),Vitter (R-LA),Roberts (R-KS),McCaskill (D-MO),Kerry (D-MA),Gillibrand (D-NY),Inhofe (R-OK),Sessions (R-AL),Coburn (R-OK),Baucus (D-MT),Wicker (R-MS),Franken (D-MN),Kirk (R-IL),Rockefeller (D-WV),Burr (R-NC),Udall (D-NM),Johnson (R-WI),Manchin (D-WV),Merkley (D-OR),Schumer (D-NY),Ayotte (R-NH),Brown (R-MA),Blumenthal (D-CT),Mikulski (D-MD),Whitehouse (D-RI),Murkowski (R-AK),Pryor (D-AR),Stabenow (D-MI),Hoeven (R-ND),Blunt (R-MO),Landrieu (D-LA),Inouye (D-HI),Isakson (R-GA),Akaka (D-HI),Grassley (R-IA),Portman (R-OH),Carper (D-DE),Shelby (R-AL),Brown (D-OH),Johanns (R-NE),Shaheen (D-NH),Cornyn (R-TX),Boozman (R-AR),Nelson (D-FL),Webb (D-VA),Ensign (R-NV),Nelson (D-NE),Durbin (D-IL),Menendez (D-NJ),Kohl (D-WI),DeMint (R-SC),Tester (D-MT),Cochran (R-MS),Warner (D-VA),Lautenberg (D-NJ),Thune (R-SD),Snowe (R-ME),Hagan (D-NC),Kyl (R-AZ),Udall (D-CO),Wyden (D-OR),Begich (D-AK),Johnson (D-SD),Toomey (R-PA),Cardin (D-MD),,,,,,,,,
